Transaction ID,Date,Description,Merchant,Category,Amount,Payment Method,Type
T0034,2025-08-18,Amazon - Shopping,Amazon,Shopping,2506.44,UPI,Expense
T0019,2025-08-19,Rapido - Transport,Rapido,Transport,381.39,Card,Expense
T0013,2025-08-19,Starbucks - Food,Starbucks,Food,129.5,Card,Expense
T0003,2025-08-19,Spotify - Entertainment,Spotify,Entertainment,116.33,UPI,Expense
T0004,2025-08-20,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12576.6,Bank Transfer,Expense
T0038,2025-08-20,Netflix - Entertainment,Netflix,Entertainment,327.95,UPI,Expense
T0049,2025-08-20,Nykaa - Personal Care,Nykaa,Personal Care,712.97,Card,Expense
T0025,2025-08-20,Ola - Transport,Ola,Transport,138.61,Cash,Expense
T0015,2025-08-21,Starbucks - Food,Starbucks,Food,505.17,Card,Expense
T0005,2025-08-21,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1859.19,Bank Transfer,Expense
T0036,2025-08-22,Flipkart - Shopping,Flipkart,Shopping,319.03,Card,Expense
T0024,2025-08-22,Petrol Pump - Transport,Petrol Pump,Transport,242.09,Card,Expense
T0030,2025-08-22,Ola - Transport,Ola,Transport,43.48,Card,Expense
T0021,2025-08-23,Metro Card - Transport,Metro Card,Transport,114.23,Cash,Expense
T0006,2025-08-23,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,783.22,UPI,Expense
T0033,2025-08-24,Flipkart - Shopping,Flipkart,Shopping,664.38,Card,Expense
T0032,2025-08-24,Amazon - Shopping,Amazon,Shopping,351.31,Card,Expense
T0028,2025-08-24,Metro Card - Transport,Metro Card,Transport,317.52,Card,Expense
T0046,2025-08-25,MakeMyTrip - Travel,MakeMyTrip,Travel,876.27,Card,Expense
T0022,2025-08-25,Ola - Transport,Ola,Transport,253.94,Card,Expense
T0008,2025-08-26,Starbucks - Food,Starbucks,Food,612.71,Card,Expense
T0016,2025-08-27,Local Cafe - Food,Local Cafe,Food,200.08,UPI,Expense
T0035,2025-08-27,Local Mall - Shopping,Local Mall,Shopping,901.71,Card,Expense
T0050,2025-09-01,Monthly Salary,Employer Payroll,Income,47640.97,Bank Transfer,Income
T0081,2025-09-01,Uber - Transport,Uber,Transport,379.77,Cash,Expense
T0052,2025-09-02,Netflix - Entertainment,Netflix,Entertainment,655.18,Card,Expense
T0060,2025-09-02,Swiggy - Food,Swiggy,Food,266.73,Cash,Expense
T0099,2025-09-03,IRCTC - Travel,IRCTC,,4554.42,UPI,Expense
T0077,2025-09-04,Metro Card - Transport,Metro Card,Transport,94.11,UPI,Expense
T0070,2025-09-04,Dominos - Food,Dominos,Food,200.31,UPI,Expense
T0054,2025-09-04,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,11739.27,Bank Transfer,Expense
T0082,2025-09-05,Petrol Pump - Transport,Petrol Pump,Transport,202.76,UPI,Expense
T0056,2025-09-05,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,834.16,UPI,Expense
T0074,2025-09-05,Metro Card - Transport,Metro Card,Transport,129.95,UPI,Expense
T0086,2025-09-05,Flipkart - Shopping,Flipkart,Shopping,428.7,Card,Expense
T0100,2025-09-07,Nykaa - Personal Care,Nykaa,Personal Care,676.23,Card,Expense
T0067,2025-09-08,Zomato - Food,Zomato,Food,483.44,Card,Expense
T0080,2025-09-08,Uber - Transport,Uber,Transport,76.82,Cash,Expense
T0064,2025-09-08,Swiggy - Food,Swiggy,Food,618.09,UPI,Expense
T0092,2025-09-09,Netflix - Entertainment,Netflix,Entertainment,454.99,Card,Expense
T0093,2025-09-09,YouTube Premium - Entertainment,YouTube Premium,Entertainment,212.44,UPI,Expense
T0084,2025-09-09,Rapido - Transport,Rapido,Transport,555.93,Cash,Expense
T0066,2025-09-09,Swiggy - Food,Swiggy,Food,422.18,UPI,Expense
T0063,2025-09-09,Dominos - Food,Dominos,Food,237.01,Card,Expense
T0098,2025-09-13,Local Library - Education,Local Library,Education,209.9,UPI,Expense
T0057,2025-09-13,Mobile Recharge - Bills & Utilities,Mobile Recharge,Food & Dining,405.58,UPI,Expense
T0071,2025-09-13,Rapido - Transport,Rapido,Transport,94.42,UPI,Expense
T0094,2025-09-14,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,715.25,UPI,Expense
T0061,2025-09-14,Local Cafe - Food,Local Cafe,Food,329.22,Cash,Expense
T0085,2025-09-14,Metro Card - Transport,Metro Card,Transport,59.06,Cash,Expense
T0062,2025-09-15,Local Cafe - Food,Local Cafe,Food,154.88,Cash,Expense
T0091,2025-09-16,YouTube Premium - Entertainment,YouTube Premium,Entertainment,266.01,UPI,Expense
T0097,2025-09-17,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,1441.78,Cash,Expense
T0058,2025-09-17,Dominos - Food,Dominos,Food,84.64,UPI,Expense
T0053,2025-09-18,Spotify - Entertainment,Spotify,Entertainment,118.57,UPI,Expense
T0095,2025-09-18,MedPlus - Health & Fitness,MedPlus,Health & Fitness,222.62,UPI,Expense
T0087,2025-09-19,Decathlon - Shopping,Decathlon,Shopping,1181.98,Card,Expense
T0088,2025-09-19,BookMyShow - Entertainment,BookMyShow,Entertainment,178.27,UPI,Expense
T0051,2025-09-20,Freelance Payment,Freelance Client,Income,3371.13,Bank Transfer,Income
T0083,2025-09-20,Rapido - Transport,Rapido,Transport,68.09,UPI,Expense
T0090,2025-09-20,YouTube Premium - Entertainment,YouTube Premium,Entertainment,152.86,Card,Expense
T0096,2025-09-21,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,2273.42,UPI,Expense
T0078,2025-09-21,Ola - Transport,Ola,Transport,110.03,Card,Expense
T0076,2025-09-21,Rapido - Transport,Rapido,Transport,449.61,Cash,Expense
T0055,2025-09-22,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1830.62,Bank Transfer,Expense
T0089,2025-09-24,YouTube Premium - Entertainment,YouTube Premium,Entertainment,506.03,Card,Expense
T0079,2025-09-24,Uber - Transport,Uber,Transport,302.24,Card,Expense
T0065,2025-09-25,Dominos - Food,Dominos,Food,315.12,UPI,Expense
T0069,2025-09-25,Grocery Mart - Food,Grocery Mart,Food,87.76,UPI,Expense
T0073,2025-09-25,Ola - Transport,Ola,Transport,504.58,UPI,Expense
T0072,2025-09-26,Petrol Pump - Transport,Petrol Pump,Transport,161.37,UPI,Expense
T0068,2025-09-26,Starbucks - Food,Starbucks,Food,104.44,Card,Expense
T0059,2025-09-26,Local Cafe - Food,Local Cafe,Food,554.94,Card,Expense
T0101,2025-09-26,Local Spa - Personal Care,Local Spa,Personal Care,671.36,UPI,Expense
T0075,2025-09-27,Rapido - Transport,Rapido,Transport,447.46,UPI,Expense
T0102,2025-10-01,Monthly Salary,Employer Payroll,Income,49685.79,Bank Transfer,Income
T0144,2025-10-02,Netflix - Entertainment,Netflix,Entertainment,413.97,Card,Expense
T0114,2025-10-02,Local Cafe - Food,Local Cafe,Food,431.13,Card,Expense
T0154,2025-10-03,Local Spa - Personal Care,Local Spa,Personal Care,445.32,Cash,Expense
T0121,2025-10-03,Grocery Mart - Food,Grocery Mart,Food,90.98,Card,Expense
T0140,2025-10-03,Myntra - Shopping,Myntra,Shopping,435.24,UPI,Expense
T0149,2025-10-04,Local Library - Education,Local Library,Education,1187.78,Card,Expense
T0145,2025-10-05,Netflix - Entertainment,Netflix,Entertainment,378.91,UPI,Expense
T0112,2025-10-05,Local Cafe - Food,Local Cafe,Food,84.3,UPI,Expense
T0128,2025-10-07,Ola - Transport,Ola,Transport,58.4,Card,Expense
T0105,2025-10-07,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,11867.2,Bank Transfer,Expense
T0132,2025-10-07,Ola - Transport,Ola,Transport,522.4,Cash,Expense
T0118,2025-10-07,Zomato - Food,Zomato,Food,328.82,UPI,Expense
T0126,2025-10-09,Metro Card - Transport,Metro Card,Transport,407.98,Cash,Expense
T0153,2025-10-09,Salon - Personal Care,Salon,Personal Care,216.56,UPI,Expense
T0110,2025-10-09,Grocery Mart - Food,Grocery Mart,Food,781.26,UPI,Expense
T0131,2025-10-09,Metro Card - Transport,Metro Card,Transport,256.19,Card,Expense
T0130,2025-10-10,Ola - Transport,Ola,Transport,107.89,Cash,Expense
T0109,2025-10-10,Swiggy - Food,Swiggy,Food,615.6,UPI,Expense
T0120,2025-10-11,Grocery Mart - Food,Grocery Mart,Food,102.88,Card,Expense
T0103,2025-10-12,Netflix - Entertainment,Netflix,Entertainment,674.57,Card,Expense
T0134,2025-10-13,Metro Card - Transport,Metro Card,Transport,398.15,Card,Expense
T0129,2025-10-13,Uber - Transport,Uber,Transport,75.09,Card,Expense
T0108,2025-10-13,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,389.15,UPI,Expense
T0146,2025-10-13,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,342.6,UPI,Expense
T0127,2025-10-13,Petrol Pump - Transport,Petrol Pump,Transport,226.07,Card,Expense
T0116,2025-10-14,Starbucks - Food,Starbucks,Food,657.27,Cash,Expense
T0138,2025-10-14,Rapido - Transport,Rapido,Transport,57.2,Cash,Expense
T0117,2025-10-15,Swiggy - Food,Swiggy,Food,125.35,Cash,Expense
T0104,2025-10-15,Spotify - Entertainment,Spotify,,119.75,UPI,Expense
T0124,2025-10-16,Petrol Pump - Transport,Petrol Pump,Transport,227.87,Card,Expense
T0148,2025-10-17,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,210.08,Cash,Expense
T0142,2025-10-17,Myntra - Shopping,Myntra,Shopping,2583.74,UPI,Expense
T0111,2025-10-17,Swiggy - Food,Swiggy,Food,161.83,Card,Expense
T0139,2025-10-18,Amazon - Shopping,Amazon,Shopping,2141.06,UPI,Expense
T0135,2025-10-18,Ola - Transport,Ola,Transport,169.27,Cash,Expense
T0150,2025-10-20,Coursera - Education,Coursera,Education,1628.18,Card,Expense
T0113,2025-10-20,Swiggy - Food,Swiggy,Food,123.24,Cash,Expense
T0137,2025-10-20,Uber - Transport,Uber,Transport,262.55,UPI,Expense
T0151,2025-10-20,IRCTC - Travel,IRCTC,Travel,6035.47,UPI,Expense
T0147,2025-10-21,YouTube Premium - Entertainment,YouTube Premium,Entertainment,322.11,UPI,Expense
T0152,2025-10-21,IndiGo Airlines - Travel,IndiGo Airlines,Travel,1372.46,Card,Expense
T0136,2025-10-21,Petrol Pump - Transport,Petrol Pump,Transport,87.29,UPI,Expense
T0125,2025-10-22,Petrol Pump - Transport,Petrol Pump,Transport,170.81,UPI,Expense
T0123,2025-10-22,Grocery Mart - Food,Grocery Mart,Food,903.17,UPI,Expense
T0115,2025-10-22,Local Cafe - Food,Local Cafe,,175.72,Cash,Expense
T0107,2025-10-23,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,781.76,UPI,Expense
T0106,2025-10-23,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1853.43,Bank Transfer,Expense
T0122,2025-10-25,Starbucks - Food,Starbucks,Food,645.1,UPI,Expense
T0133,2025-10-25,Rapido - Transport,Rapido,Transport,97.33,Card,Expense
T0119,2025-10-26,Local Cafe - Food,Local Cafe,Food,90.37,UPI,Expense
T0143,2025-10-26,Decathlon - Shopping,Decathlon,Shopping,595.83,UPI,Expense
T0141,2025-10-26,Decathlon - Shopping,Decathlon,Shopping,2624.42,Card,Expense
T0155,2025-11-01,Monthly Salary,Employer Payroll,Income,46884.62,Bank Transfer,Income
T0183,2025-11-01,Ola - Transport,Ola, Shopping,273.51,Card,Expense
T0175,2025-11-02,Starbucks - Food,Starbucks,Food,581.29,Card,Expense
T0169,2025-11-03,Dominos - Food,Dominos,Food,415.39,Cash,Expense
T0167,2025-11-03,Local Cafe - Food,Local Cafe,Food,704.54,Cash,Expense
T0170,2025-11-04,Dominos - Food,Dominos,Food,100.06,Cash,Expense
T0162,2025-11-04,Swiggy - Food,Swiggy,Food,342.97,UPI,Expense
T0180,2025-11-04,Petrol Pump - Transport,Petrol Pump,Transport,300.93,Card,Expense
T0157,2025-11-04,Spotify - Entertainment,Spotify,Entertainment,119.99,UPI,Expense
T0182,2025-11-05,Rapido - Transport,Rapido,Transport,67.47,Cash,Expense
T0192,2025-11-05,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,626.93,Cash,Expense
T0173,2025-11-06,Swiggy - Food,Swiggy,Food,405.82,Cash,Expense
T0194,2025-11-08,Salon - Personal Care,Salon,Personal Care,434.39,UPI,Expense
T0156,2025-11-11,Netflix - Entertainment,Netflix,Entertainment,670.04,Card,Expense
T0158,2025-11-11,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12587.17,Bank Transfer,Expense
T0196,2025-11-12,Salon - Personal Care,Salon,Personal Care,257.6,Card,Expense
T0165,2025-11-13,Zomato - Food,Zomato,Food,168.87,Card,Expense
T0172,2025-11-13,Swiggy - Food,Swiggy,Food,546.8,Cash,Expense
T0186,2025-11-13,Local Mall - Shopping,Local Mall,Shopping,479.44,Card,Expense
T0188,2025-11-13,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,431.28,UPI,Expense
T0179,2025-11-13,Uber - Transport,Uber,Transport,69.08,UPI,Expense
T0166,2025-11-14,Grocery Mart - Food,Grocery Mart,Food,552.96,Card,Expense
T0190,2025-11-15,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,762.68,Card,Expense
T0181,2025-11-15,Petrol Pump - Transport,Petrol Pump,Transport,400.93,Card,Expense
T0189,2025-11-16,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,2147.78,UPI,Expense
T0185,2025-11-17,Amazon - Shopping,Amazon,Shopping,3288.19,Card,Expense
T0177,2025-11-19,Rapido - Transport,Rapido,Transport,493.44,UPI,Expense
T0191,2025-11-19,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,2115.22,Card,Expense
T0168,2025-11-19,Zomato - Food,Zomato,Food,634.52,UPI,Expense
T0163,2025-11-19,Dominos - Food,Dominos,Food,246.22,UPI,Expense
T0164,2025-11-20,Starbucks - Food,Starbucks,Food,166.15,Cash,Expense
T0187,2025-11-21,Netflix - Entertainment,Netflix,Entertainment,864.36,UPI,Expense
T0178,2025-11-21,Rapido - Transport,Rapido,Transport,386.9,Cash,Expense
T0195,2025-11-22,Nykaa - Personal Care,Nykaa,Personal Care,726.06,Cash,Expense
T0159,2025-11-23,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1849.36,Bank Transfer,Expense
T0161,2025-11-24,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,414.18,UPI,Expense
T0171,2025-11-25,Grocery Mart - Food,Grocery Mart,Food,145.18,UPI,Expense
T0171,2025-11-25,Grocery Mart - Food,Grocery Mart,Food,145.18,UPI,Expense
T0174,2025-11-25,Swiggy - Food,Swiggy,Food,81.08,UPI,Expense
T0193,2025-11-25,Coursera - Education,Coursera,Education,276.21,UPI,Expense
T0160,2025-11-26,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,782.6,UPI,Expense
T0176,2025-11-27,Zomato - Food,Zomato,Food,654.48,UPI,Expense
T0184,2025-11-27,Petrol Pump - Transport,Petrol Pump,Transport,46.36,Card,Expense
T0239,2025-12-01,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,1981.25,Card,Expense
T0241,2025-12-01,Nykaa - Personal Care,Nykaa,Personal Care,456.87,Cash,Expense
T0214,2025-12-01,Local Cafe - Food,Local Cafe,Food,666.14,Cash,Expense
T0197,2025-12-01,Monthly Salary,Employer Payroll,Income,46323.92,Bank Transfer,Income
T0226,2025-12-02,Metro Card - Transport,Metro Card,Transport,142.57,Cash,Expense
T0228,2025-12-02,Local Mall - Shopping,Local Mall,Shopping,661.62,Card,Expense
T0227,2025-12-05,Ola - Transport,Ola,Transport,466.55,UPI,Expense
T0229,2025-12-06,Myntra - Shopping,Myntra,Shopping,1468.37,UPI,Expense
T0205,2025-12-06,Local Cafe - Food,Local Cafe,Food,376.55,Card,Expense
T0209,2025-12-07,Zomato - Food,Zomato,Food,635.29,Card,Expense
T0212,2025-12-08,Dominos - Food,Dominos,Food,122.74,Card,Expense
T0204,2025-12-10,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,412.16,UPI,Expense
T0206,2025-12-10,Grocery Mart - Food,Grocery Mart,Food,495.2,Card,Expense
T0220,2025-12-10,Uber - Transport,Uber,Transport,70.46,Cash,Expense
T0236,2025-12-10,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,749.49,Card,Expense
T0200,2025-12-10,Spotify - Entertainment,Spotify,Entertainment,120.88,UPI,Expense
T0225,2025-12-11,Ola - Transport,Ola,Transport,309.31,UPI,Expense
T0222,2025-12-12,Rapido - Transport,Rapido,Transport,582.6,Cash,Expense
T0215,2025-12-12,Local Cafe - Food,Local Cafe,Food,117.0,UPI,Expense
T0242,2025-12-12,Myntra - Large Purchase,Myntra,Shopping,8146.08,Card,Expense
T0199,2025-12-13,Netflix - Entertainment,Netflix,Entertainment,641.24,Card,Expense
T0235,2025-12-14,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,667.13,UPI,Expense
T0230,2025-12-14,Amazon - Shopping,Amazon,Shopping,580.36,Card,Expense
T0208,2025-12-14,Starbucks - Food,Starbucks,Food,578.97,Card,Expense
T0238,2025-12-14,MedPlus - Health & Fitness,MedPlus,Health & Fitness,201.54,Card,Expense
T0210,2025-12-14,Swiggy - Food,Swiggy,Food,95.62,UPI,Expense
T0217,2025-12-14,Grocery Mart - Food,Grocery Mart,Food,939.4,Card,Expense
T0198,2025-12-14,Freelance Payment,Freelance Client,Income,3382.8,Bank Transfer,Income
T0221,2025-12-15,Metro Card - Transport,Metro Card,Transport,62.69,UPI,Expense
T0202,2025-12-16,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1839.3,Bank Transfer,Expense
T0237,2025-12-16,Netflix - Entertainment,Netflix,Entertainment,237.04,UPI,Expense
T0223,2025-12-16,Ola - Transport,Ola,Transport,584.48,Cash,Expense
T0207,2025-12-16,Grocery Mart - Food,Grocery Mart,Food,781.43,Cash,Expense
T0201,2025-12-16,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12313.92,Bank Transfer,Expense
T0216,2025-12-17,Starbucks - Food,Starbucks,Food,197.35,UPI,Expense
T0233,2025-12-17,Amazon - Shopping,Amazon,Shopping,809.63,UPI,Expense
T0224,2025-12-18,Uber - Transport,Uber,Transport,134.66,Cash,Expense
T0232,2025-12-18,Myntra - Shopping,Myntra,Shopping,2367.91,UPI,Expense
T0240,2025-12-18,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,389.15,UPI,Expense
T0203,2025-12-18,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,795.24,UPI,Expense
T0213,2025-12-20,Zomato - Food,Zomato,Food,502.59,Cash,Expense
T0219,2025-12-20,Petrol Pump - Transport,Petrol Pump,Transport,226.88,Card,Expense
T0218,2025-12-21,Local Cafe - Food,Local Cafe,Food,438.61,UPI,Expense
T0231,2025-12-23,Decathlon - Shopping,Decathlon,Shopping,1686.49,UPI,Expense
T0211,2025-12-24,Grocery Mart - Food,Grocery Mart,Food,91.79,UPI,Expense
T0234,2025-12-24,Spotify - Entertainment,Spotify,Entertainment,657.03,Card,Expense
T0243,2026-01-01,Monthly Salary,Employer Payroll,Income,46650.46,Bank Transfer,Income
T0261,2026-01-02,Local Cafe - Food,Local Cafe,Food,425.4,UPI,Expense
T0255,2026-01-02,Dominos - Food,Dominos,Food,268.74,Cash,Expense
T0250,2026-01-03,Swiggy - Food,Swiggy,Food,489.97,Cash,Expense
T0275,2026-01-04,Amazon - Shopping,Amazon,Shopping,4470.61,UPI,Expense
T0271,2026-01-04,Ola - Transport,Ola,Transport,441.3,Cash,Expense
T0272,2026-01-06,Petrol Pump - Transport,Petrol Pump,Transport,100.97,UPI,Expense
T0286,2026-01-07,Salon - Personal Care,Salon,Personal Care,220.72,UPI,Expense
T0260,2026-01-07,Swiggy - Food,Swiggy,Food,201.19,Cash,Expense
T0253,2026-01-08,Starbucks - Food,Starbucks,Food,511.74,Cash,Expense
T0244,2026-01-08,Netflix - Entertainment,Netflix,Entertainment,680.51,Card,Expense
T0270,2026-01-09,Petrol Pump - Transport,Petrol Pump,Transport,117.19,Card,Expense
T0278,2026-01-10,Amazon - Shopping,Amazon,Shopping,806.94,Card,Expense
T0279,2026-01-10,Spotify - Entertainment,Spotify,Entertainment,123.33,Card,Expense
T0264,2026-01-11,Swiggy - Food,Swiggy,food,142.93,UPI,Expense
T0283,2026-01-11,Udemy - Education,Udemy,Education,482.68,UPI,Expense
T0277,2026-01-11,Myntra - Shopping,Myntra,Shopping,1152.23,UPI,Expense
T0281,2026-01-12,MedPlus - Health & Fitness,MedPlus,Health & Fitness,1244.16,Cash,Expense
T0251,2026-01-12,Dominos - Food,Dominos,Food,403.66,Card,Expense
T0252,2026-01-12,Grocery Mart - Food,Grocery Mart,Food,914.43,UPI,Expense
T0246,2026-01-13,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12370.98,Bank Transfer,Expense
T0273,2026-01-13,Petrol Pump - Transport,Petrol Pump,Transport,356.18,Card,Expense
T0280,2026-01-13,YouTube Premium - Entertainment,YouTube Premium,Entertainment,238.34,UPI,Expense
T0249,2026-01-13,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,411.99,UPI,Expense
T0282,2026-01-14,Local Clinic - Health & Fitness,Local Clinic,Health & Fitness,334.01,Card,Expense
T0247,2026-01-14,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1876.08,Bank Transfer,Expense
T0269,2026-01-15,Ola - Transport,Ola,Transport,403.34,Cash,Expense
T0285,2026-01-17,Nykaa - Personal Care,Nykaa,Personal Care,315.63,Cash,Expense
T0265,2026-01-17,Zomato - Food,Zomato,Food,80.9,Cash,Expense
T0258,2026-01-18,Swiggy - Food,Swiggy,Food,316.23,Card,Expense
T0254,2026-01-18,Local Cafe - Food,Local Cafe,Food,108.69,UPI,Expense
T0268,2026-01-19,Ola - Transport,Ola,Transport,402.72,UPI,Expense
T0248,2026-01-20,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,836.6,UPI,Expense
T0262,2026-01-21,Starbucks - Food,Starbucks,Food,542.7,UPI,Expense
T0267,2026-01-21,Metro Card - Transport,Metro Card,Transport,452.28,Card,Expense
T0259,2026-01-22,Zomato - Food,Zomato,Food,612.44,Cash,Expense
T0256,2026-01-24,Grocery Mart - Food,Grocery Mart,Food,252.79,UPI,Expense
T0245,2026-01-24,Spotify - Entertainment,Spotify,Entertainment,121.34,UPI,Expense
T0276,2026-01-24,Local Mall - Shopping,Local Mall,Shopping,1503.65,Card,Expense
T0263,2026-01-24,Starbucks - Food,Starbucks,Food,580.41,Cash,Expense
T0284,2026-01-25,Coursera - Education,Coursera,Education,1493.01,UPI,Expense
T0266,2026-01-26,Dominos - Food,Dominos,Food,427.49,Card,Expense
T0274,2026-01-27,Petrol Pump - Transport,Petrol Pump,Transport,120.74,UPI,Expense
T0257,2026-01-27,Zomato - Food,Zomato,Food,570.17,Card,Expense
T0331,2026-02-01,Nykaa - Personal Care,Nykaa,Personal Care,641.24,Cash,Expense
T0325,2026-02-01,BookMyShow - Entertainment,BookMyShow,Entertainment,123.67,Card,Expense
T0287,2026-02-01,Monthly Salary,Employer Payroll,Income,48577.65,Bank Transfer,Income
T0304,2026-02-01,Zomato - Food,Zomato,Food,676.47,UPI,Expense
T0311,2026-02-02,Metro Card - Transport,Metro Card,Transport,274.74,Card,Expense
T0298,2026-02-02,Swiggy - Food,Swiggy,Food,94.08,UPI,Expense
T0315,2026-02-03,Petrol Pump - Transport,Petrol Pump,Transport,76.96,Card,Expense
T0316,2026-02-03,Metro Card - Transport,Metro Card,Transport,197.78,Cash,Expense
T0334,2026-02-04,Apollo Pharmacy - Large Purchase,Apollo Pharmacy,Health & Fitness,6580.99,Card,Expense
T0329,2026-02-04,Local Library - Education,Local Library,Education,319.47,UPI,Expense
T0313,2026-02-04,Uber - Transport,Uber,Transport,41.02,Cash,Expense
T0305,2026-02-05,Swiggy - Food,Swiggy,Food,281.31,UPI,Expense
T0322,2026-02-05,Spotify - Entertainment,Spotify,Entertainment,599.53,Card,Expense
T0294,2026-02-05,Zomato - Food,Zomato,Food,102.94,Card,Expense
T0312,2026-02-06,Uber - Transport,Uber,Transport,45.48,UPI,Expense
T0308,2026-02-07,Ola - Transport,Ola,Transport,77.13,Cash,Expense
T0300,2026-02-09,Swiggy - Food,Swiggy,Food,105.44,UPI,Expense
T0332,2026-02-11,Salon - Personal Care,Salon,Personal Care,1394.58,UPI,Expense
T0295,2026-02-12,Dominos - Food,Dominos,Food,850.63,Cash,Expense
T0309,2026-02-13,Rapido - Transport,Rapido,Transport,74.22,Cash,Expense
T0303,2026-02-14,Local Cafe - Food,Local Cafe,Food,224.28,UPI,Expense
